"","neighborhood","lat","lng","Midwood","Bedford","Fordham.South","Borough.Park","Rugby.Remsen.Village","East.Flushing","Woodhaven","Madison","Parkchester","Auburndale","Williamsbridge.Olinville","Murray.Hill","East.Elmhurst","Brownsville","East.New.York..Pennsylvania.Ave.","Kensington.Ocean.Parkway","Erasmus","Cambria.Heights","East.Flatbush.Farragut","Ocean.Parkway.South","Starrett.City","Central.Harlem.South","College.Point","Morrisania.Melrose","Elmhurst","Glen.Oaks.Floral.Park.New.Hyde.Park","Longwood","Yorkville","Upper.East.Side.Carnegie.Hill","Windsor.Terrace","Hammels.Arverne.Edgemere","Rikers.Island","Hunts.Point","Jackson.Heights","Bath.Beach","Old.Town.Dongan.Hills.South.Beach","Flatbush","Melrose.South.Mott.Haven.North","Ocean.Hill","Morningside.Heights","Soundview.Bruckner","Allerton.Pelham.Gardens","Jamaica.Estates.Holliswood","Hollis","Flatlands","East.New.York","Kingsbridge.Heights","Norwood","Manhattanville","Grasmere.Arrochar.Ft..Wadsworth","Queens.Village","Springfield.Gardens.North","Canarsie","Bensonhurst.West","West.New.Brighton.New.Brighton.St..George","West.Village","East.Village","Chinatown","Pelham.Bay.Country.Club.City.Island","Woodlawn.Wakefield","Old.Astoria","Van.Cortlandt.Village","Astoria","Stuyvesant.Town.Cooper.Village","Dyker.Heights","New.Brighton.Silver.Lake","Westerleigh","Co.op.City","University.Heights.Morris.Heights","distance.matrix[, ncol(distance.matrix)]","Bayside.Bayside.Hills","North.Corona","Kew.Gardens.Hills","Pomonok.Flushing.Heights.Hillcrest","North.Side.South.Side","Lower.East.Side","Greenpoint","Spuyten.Duyvil.Kingsbridge","Sunset Park East","Marble Hill-Inwood","Fort Greene","Washington Heights North","Steinway","Mott Haven-Port Morris","Prospect Heights","Central Harlem North-Polo Grounds","Queensbridge-Ravenswood-Long Island City","Cypress Hills-City Line","New Dorp-Midland Beach","Bay Ridge","Sunset Park West","Baisley Park","SoHo-TriBeCa-Civic Center-Little Italy"
"1","Midwood",40.6190629,-73.9653715,0,3487,4191,1896,2506,5849,4827,1419,5673,5458,5341,4391,4894,2680,3237,368,1860,4760,1838,1170,2990,3808,5565,4610,4384,6541,4298,3647,3719,1450,4885,5046,5183,4820,2040,4044,1020,4580,1830,3867,4599,5481,4353,3641,1467,3182,5282,5453,4218,4025,3236,3662,2367,1670,4508,2573,3073,2441,5619,6027,4852,5691,3971,3029,2517,4070,4214,6167,5058,3929,4719,4264,4200,4503,5323,2753,4049,4521,2371,4843,2297,3961,4548,4725,1822,2509,3494,3237,4352,2839,2541,4324,2591
"2","Bedford",40.709534,-73.964027,0,0,2888,3081,1330,4060,2275,3378,4561,4525,4349,3778,3691,2211,2574,3370,2541,4232,3057,2840,2971,2367,4040,3423,3242,5035,3396,2176,2517,2491,3594,3838,4302,3456,3284,3440,3027,3457,3429,3025,3128,4058,4207,3846,3628,2479,3990,4101,3048,3637,2807,4206,2182,3285,4354,1671,1251,1338,4406,3589,2554,4778,2354,1426,3092,4255,4132,5227,3054,2787,3282,2781,3951,2984,4271,1373,1422,3229,2714,3761,1351,2699,2798,3583,2390,1330,1319,1794,4282,3872,2671,3631,1428
"3","Fordham South",40.8615,-73.89058,0,0,0,4943,2672,4197,5380,5193,1760,4598,967,3946,2335,4026,4241,5412,3637,5824,4234,4025,4544,1032,3506,1520,2753,5700,1419,2160,1218,4520,6428,2807,2723,2478,5459,4169,3493,1520,5012,1621,2017,846,5402,5258,4519,4268,888,1054,1864,4993,3607,5911,4867,5173,4809,3139,2348,2379,2204,480,3141,1864,2068,2742,5628,4959,4836,2300,602,2177,5141,3074,3739,4098,1222,3542,4310,915,4289,1273,3510,1107,2253,2012,3382,2222,2841,5085,5201,3790,4379,4438,2019
"4","Borough Park",40.6323009,-73.9888797,0,0,0,0,2415,5398,4600,2199,5582,5314,5400,4847,4352,3047,3735,1394,2045,4634,2300,1311,3812,3867,5797,4444,4053,6246,4327,3646,3538,1484,4705,4715,5242,4297,1506,3409,1632,4444,2281,3776,5638,5270,5581,3515,2745,3680,5017,5122,4069,3762,3110,3686,3500,1441,5574,2572,3112,2328,5468,5340,4581,5600,3820,3340,1747,4523,3552,6226,4967,3808,4635,4233,4134,4592,5172,2678,3341,4370,1121,4392,2350,3660,4577,4604,2018,2355,3146,3210,3114,1966,1051,4198,2359
"5","Rugby-Remsen Village",40.7127837,-74.0059413,0,0,0,0,0,3109,2838,2410,3606,3295,3244,2354,3047,2421,2910,2652,1917,4504,2514,2122,3173,1711,3971,2633,2679,4602,2231,1520,1682,1700,3626,3311,3056,2828,2942,2467,1923,1584,2744,2155,3152,3174,3984,2992,3180,2801,2795,3463,2506,2571,2878,3283,2454,2570,3920,848,1078,629,2922,3540,2647,3478,1754,1022,2133,3322,3199,3406,2838,2391,2442,2407,3514,2646,3106,1036,1690,2244,1928,3190,1431,1981,2571,2838,1546,0,1383,2059,2929,2229,1958,4351,449
"6","East Flushing",40.7525589,-73.8095574,0,0,0,0,0,0,3630,5967,3615,668,3701,1054,2561,3975,4190,5839,5317,3059,5758,5309,5796,3605,2416,4165,2879,2390,4024,3444,3246,4887,4826,4288,4195,2359,5736,6143,4957,5094,5478,3735,3280,3873,2315,2249,6655,4593,4629,5283,4915,6067,2789,3688,4186,5386,7624,3653,4262,4173,3749,4678,2344,5901,2750,3818,6351,6919,6796,3684,4864,3612,1485,1301,1597,1088,5003,3913,3385,4435,5050,5240,3997,3536,3535,4059,5026,3656,2467,4204,5822,5194,5333,3113,3753
"7","Woodhaven",40.6901366,-73.8566087,0,0,0,0,0,0,0,4783,5439,2973,5707,3686,3000,2159,1991,4758,3963,2680,3985,4228,2490,4264,4563,4167,1869,3390,4754,4073,4055,3866,2717,4389,5120,2755,5089,4888,4116,5036,5240,3655,5055,5667,2655,3007,3526,2464,5288,5489,4841,4742,1679,2766,2190,4733,5424,2999,3191,2846,5355,5043,2244,5862,2876,2849,5508,5638,5515,5959,5214,4595,3703,2530,2416,3189,5329,2821,2817,4527,3564,5164,2607,4462,3535,5181,2543,2898,2701,1271,5337,4240,3564,2139,2876
"8","Madison",40.6056249,-73.9492079,0,0,0,0,0,0,0,0,5623,5829,5139,4807,5310,2645,3203,1478,1923,5600,1600,1932,3015,4464,6364,4741,4350,6543,4714,4033,3517,2737,3936,5012,5242,4738,2730,4381,1436,4423,1491,4073,5015,5627,4769,4057,1301,2816,5020,5419,4634,4378,3382,3958,2140,2340,4654,2869,3261,2539,5795,5667,4560,5777,3979,3037,2592,5346,5299,6189,5474,4045,4872,4184,4060,4603,5469,2915,3090,4667,2809,4629,2443,3927,4934,4841,2238,2925,3926,4066,4765,3354,2989,4470,2686
"9","Parkchester",40.8382522,-73.8566087,0,0,0,0,0,0,0,0,0,3400,1189,3173,3581,5649,5864,6088,4780,7090,5377,5588,6047,2204,2240,2823,4190,4532,1581,2673,2145,5166,6882,3742,1710,3323,5865,5042,4366,2181,5975,2565,1105,1031,4418,4616,5392,5621,2276,2486,3006,5174,4934,6248,5830,5433,5952,3920,3851,3882,1345,2780,4035,3216,3627,3705,6549,6042,5919,2114,2075,2541,3716,3180,3605,3032,2813,4102,4762,2803,5539,2505,4533,2400,3278,2041,4781,3755,3586,5922,5774,4813,5029,6705,3522
"10","Auburndale",40.754115,-73.7860276,0,0,0,0,0,0,0,0,0,0,4367,1067,2934,4438,4270,6212,5534,2649,6131,5622,4958,4407,2138,4538,2574,1996,3864,3817,3619,5260,4687,4790,4035,2732,5408,6066,5330,4921,5457,3692,3120,4246,1694,1992,5775,4539,5002,5473,4130,6130,2319,3504,3762,5343,6775,4312,4857,4546,3764,4302,3667,5366,3121,3221,5742,6561,6438,4290,4970,4399,1079,1614,1350,1401,5550,4226,2705,4688,4422,4033,4366,3493,3060,4419,4244,3270,2900,3419,5779,5009,4182,3041,4369
